City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
301,Chirgaon,IN,281.71,25.5833,78.8167,छोटू दादा की हवेली
302,Belmonte,BR,300.15,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
303,Narsaq,GL,268.15,60.9167,-46.05,Hotel Narsaq
304,Grindavik,IS,270.15,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
305,Ngunguru,NZ,293.15,-35.6167,174.5,Pacific Rendezvous Motel Resort
306,Kavaratti,IN,300.39,10.5669,72.642,Hotels in Lakshadweep Islands
307,Mar Del Plata,AR,298.15,-38.0023,-57.5575,Gran Hotel Mar del Plata
308,Santa Cruz,BO,300.15,-17.8,-63.1667,Hotel Cortez
309,Alyangula,AU,298.15,-13.8483,136.4192,Groote Eylandt Lodge
310,Bengkulu,ID,296.54,-3.8004,102.2655,Grage Hotel Bengkulu
311,Tarakan,ID,299.06,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
312,Logansport,US,273.15,40.7545,-86.3567,Holiday Inn Express & Suites Logansport
313,Naryan-Mar,RU,243.93,67.6713,53.086999999999996,Hostel Agat
314,Mastic Beach,US,274.82,40.7668,-72.8521,Brushwood House by Smith Point Beach
315,Escanaba,US,268.15,45.7453,-87.0646,Sunset Lodge
316,Pangnirtung,CA,253.15,66.1451,-65.7125,Kilabuk Lodge
317,Cristalina,BR,295.26,-16.7686,-47.6136,HOTEL TOPAZIO
318,Divicani,BA,273.15,44.3667,17.3261,Trg Bijede
319,Ambilobe,MG,297.9,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
320,Lahad Datu,MY,296.61,5.0268,118.32700000000001,The 27th House
321,Hofn,IS,269.49,64.2539,-15.2082,Hótel Höfn
322,Sur,OM,291.74,22.5667,59.5289,Sur Plaza Hotel
323,Los Llanos De Aridane,ES,291.15,28.6585,-17.9182,Valle Aridane
324,Krasnyy Kholm,RU,273.71,58.0607,37.1203,
325,Olafsvik,IS,270.36,64.8945,-23.7142,Hotel Olafsvik
326,Yumen,CN,266.23,40.2833,97.2,
327,Derzhavinsk,KZ,269.98,51.1,66.3167,Ooo.khim Baza
328,Nalut,LY,284.06,30.3333,10.85,
329,Chapais,CA,265.15,49.7834,-74.8492,Hôtel Opémiska
330,Benjamin Hill,MX,284.82,30.1667,-111.1,Luis Guillermo García Medina
331,Jimenez,MX,291.15,28.3333,-105.4,Hacienda Las Marias
332,Anadyr,RU,250.37,64.75,177.4833,"Гостиница ""Анадырь"""
333,Santa Vitoria Do Palmar,BR,301.12,-33.5189,-53.3681,Hostel Comodoro
334,Kisangani,CD,296.35,0.5167,25.2,Grand Ramela Hotel
335,Lar,IN,282.16,26.2039,83.9717,Ovaiskarni ward Lar
336,Laredo,US,301.15,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
337,Xuddur,SO,297.08,4.1213,43.8894,Banjanay Hotel
338,Novo Oriente,BR,303.67,-5.5344,-40.7742,Golden Palace Hotel
339,Salalah,OM,294.15,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
340,Charagua,BO,306.15,-19.8,-63.2167,Residencial Luismar
341,Batagay-Alyta,RU,232.94,67.8006,130.4114,
342,Lichinga,MZ,290.93,-13.3128,35.2406,Residencial Bendiak
343,Maxixe,MZ,300.15,-23.8597,35.3472,Oceano
344,Nakhon Thai,TH,295.45,17.1006,100.8374,Phet resort
345,Bogashevo,RU,247.15,56.3683,85.1447,Отель Skyline Томск аэропорт
346,Singaraja,ID,299.51,-8.112,115.0882,Puri Bagus Lovina Resort
347,Pundaguitan,PH,300.18,6.3711,126.1689,Leonardo Family Beach House 1
348,Quartucciu,IT,281.48,39.2519,9.1794,Best Western Hotel Residence Italia
349,Liberia,LR,297.7,6.5,-9.5,
350,Newport,GB,279.82,51.5877,-2.9984,ibis budget Newport
351,Saldanha,ZA,292.15,-33.0117,17.9442,Blue Bay Lodge
352,Sao Jose Da Coroa Grande,BR,300.05,-8.8978,-35.1478,Crôa Mares Hotel
353,Redmond,US,279.82,47.674,-122.1215,Seattle Marriott Redmond
354,Quixada,BR,305.52,-4.9714,-39.0153,Hotel Vale das Pedras
355,Kirkwall,GB,275.15,58.9848,-2.9587,Ayre Hotel
356,Vila Velha,BR,303.15,-20.3297,-40.2925,Hotel Vitória Palace
357,Camocim,BR,299.93,-2.9022,-40.8411,Hotel Ilha do Amor
359,Lagoa,PT,290.01,39.05,-27.9833,Casa Das Faias
